市区町村コード,Level1_Name,Level2_Name,都道府県,市区町村,市区町村詳細,緯度,経度
22213,静岡県掛川市,静岡県掛川市,静岡県,掛川市,NA,34.768767,137.998168
22214,静岡県藤枝市,静岡県藤枝市,静岡県,藤枝市,NA,34.867367,138.257458
22215,静岡県御殿場市,静岡県御殿場市,静岡県,御殿場市,NA,35.308584,138.934506
22216,静岡県袋井市,静岡県袋井市,静岡県,袋井市,NA,34.750174,137.924679
22219,静岡県下田市,静岡県下田市,静岡県,下田市,NA,34.679533,138.945316
22220,静岡県裾野市,静岡県裾野市,静岡県,裾野市,NA,35.173883,138.906729
22221,静岡県湖西市,静岡県湖西市,静岡県,湖西市,NA,34.718466,137.531626
22222,静岡県伊豆市,静岡県伊豆市,静岡県,伊豆市,NA,34.976586,138.946704
22223,静岡県御前崎市,静岡県御前崎市,静岡県,御前崎市,NA,34.637987,138.128127
22224,静岡県菊川市,静岡県菊川市,静岡県,菊川市,NA,34.757746,138.084582
22225,静岡県伊豆の国市,静岡県伊豆の国市,静岡県,伊豆の国市,NA,35.027735,138.928921
22226,静岡県牧之原市,静岡県牧之原市,静岡県,牧之原市,NA,34.740043,138.224652
22301,静岡県賀茂郡,静岡県賀茂郡東伊豆町,静岡県,賀茂郡,東伊豆町,34.772835,139.041311
22302,静岡県賀茂郡,静岡県賀茂郡河津町,静岡県,賀茂郡,河津町,34.757033,138.987538
22304,静岡県賀茂郡,静岡県賀茂郡南伊豆町,静岡県,賀茂郡,南伊豆町,34.651092,138.858527
22305,静岡県賀茂郡,静岡県賀茂郡松崎町,静岡県,賀茂郡,松崎町,34.752769,138.778726
22306,静岡県賀茂郡,静岡県賀茂郡西伊豆町,静岡県,賀茂郡,西伊豆町,34.771676,138.775356
22325,静岡県田方郡,静岡県田方郡函南町,静岡県,田方郡,函南町,35.088973,138.953366
22341,静岡県駿東郡,静岡県駿東郡清水町,静岡県,駿東郡,清水町,35.099015,138.902717
22342,静岡県駿東郡,静岡県駿東郡長泉町,静岡県,駿東郡,長泉町,35.13767,138.897178
22344,静岡県駿東郡,静岡県駿東郡小山町,静岡県,駿東郡,小山町,35.360107,138.987298
22424,静岡県榛原郡,静岡県榛原郡吉田町,静岡県,榛原郡,吉田町,34.77087,138.251993
22429,静岡県榛原郡,静岡県榛原郡川根本町,静岡県,榛原郡,川根本町,35.046833,138.081695
22461,静岡県周智郡,静岡県周智郡森町,静岡県,周智郡,森町,34.835627,137.927019
23101,愛知県名古屋市,愛知県名古屋市千種区,愛知県,名古屋市,千種区,35.166486,136.946434
23102,愛知県名古屋市,愛知県名古屋市東区,愛知県,名古屋市,東区,35.179325,136.925993
23103,愛知県名古屋市,愛知県名古屋市北区,愛知県,名古屋市,北区,35.194206,136.911519
23104,愛知県名古屋市,愛知県名古屋市西区,愛知県,名古屋市,西区,35.189117,136.890033
23105,愛知県名古屋市,愛知県名古屋市中村区,愛知県,名古屋市,中村区,35.168747,136.873015
23106,愛知県名古屋市,愛知県名古屋市中区,愛知県,名古屋市,中区,35.168707,136.910251
23107,愛知県名古屋市,愛知県名古屋市昭和区,愛知県,名古屋市,昭和区,35.150199,136.934124
23108,愛知県名古屋市,愛知県名古屋市瑞穂区,愛知県,名古屋市,瑞穂区,35.131441,136.934961
23109,愛知県名古屋市,愛知県名古屋市熱田区,愛知県,名古屋市,熱田区,35.128545,136.91028
23110,愛知県名古屋市,愛知県名古屋市中川区,愛知県,名古屋市,中川区,35.141539,136.854793
23111,愛知県名古屋市,愛知県名古屋市港区,愛知県,名古屋市,港区,35.107772,136.885567
23112,愛知県名古屋市,愛知県名古屋市南区,愛知県,名古屋市,南区,35.095169,136.931242
23113,愛知県名古屋市,愛知県名古屋市守山区,愛知県,名古屋市,守山区,35.203335,136.976314
23114,愛知県名古屋市,愛知県名古屋市緑区,愛知県,名古屋市,緑区,35.070805,136.952238
23115,愛知県名古屋市,愛知県名古屋市名東区,愛知県,名古屋市,名東区,35.175848,137.010183
23116,愛知県名古屋市,愛知県名古屋市天白区,愛知県,名古屋市,天白区,35.122671,136.974982
23201,愛知県豊橋市,愛知県豊橋市,愛知県,豊橋市,NA,34.7692,137.391466
23202,愛知県岡崎市,愛知県岡崎市,愛知県,岡崎市,NA,34.954379,137.174329
23203,愛知県一宮市,愛知県一宮市,愛知県,一宮市,NA,35.30389,136.802933
23204,愛知県瀬戸市,愛知県瀬戸市,愛知県,瀬戸市,NA,35.223614,137.084171
23205,愛知県半田市,愛知県半田市,愛知県,半田市,NA,34.891718,136.937961
23206,愛知県春日井市,愛知県春日井市,愛知県,春日井市,NA,35.247611,136.972224
23207,愛知県豊川市,愛知県豊川市,愛知県,豊川市,NA,34.826851,137.375542
23208,愛知県津島市,愛知県津島市,愛知県,津島市,NA,35.177029,136.741214
23209,愛知県碧南市,愛知県碧南市,愛知県,碧南市,NA,34.884804,136.993375
23210,愛知県刈谷市,愛知県刈谷市,愛知県,刈谷市,NA,34.989225,137.002107
23211,愛知県豊田市,愛知県豊田市,愛知県,豊田市,NA,35.082395,137.156249
23212,愛知県安城市,愛知県安城市,愛知県,安城市,NA,34.958641,137.080297
23213,愛知県西尾市,愛知県西尾市,愛知県,西尾市,NA,34.861937,137.06185
